НАЗВА,ОПИС,ЦІНА
Рaro plak таблетки для виявлення зубного нальоту 10 шт,"paro plak таблетки складаються із поєднання харчових барвників, які вступають у реакцію з органічними елементами нальоту, тим самим забарвлюючи його.
Двокомпонентне визначення: старі зубні відкладення забарвлюються у синій колір, а свіжий наліт – в рожевий.
Проблема зубного нальоту у тому, що не видно, але небезпечний!
Індикатори нальоту допомагають визначити рівень відкладень на зубах та вчасно вжити заходів щодо його ліквідації.
Для проведення тесту необхідно помістити одну таблетку (дітям 1/2 таблетки) на язик, розжувати та розподілити частинки по поверхні зубів язиком та слиною, потім сплюнути та обполоснути водою.
Після проведення процедури та огляду фарба легко видаляється шляхом звичайного чищення зубів.
Простий у використанні
Двокомпонентна колірна індикація нальоту
Арт. 7.1209 paro® plak 2-кольорові пігулки для індикації зубного нальоту, 1000 шт.
Виробник ESRO AG, Швейцарія",
Скребок для язика з подвійним лезом Curaprox Tongue Cleaner,"Скребок для язика CTC 202 з подвійним лезом Curaprox Tongue Cleaner
Curaprox CTC 202 – це ефективний інструмент для гігієни ротової порожнини, який допомагає усунути наліт із поверхні язика та запобігає виникненню неприємного запаху. Подвійне лезо забезпечує глибоке очищення, не подразнюючи ніжну поверхню язика.

Основні переваги:
Подвійне лезо: Забезпечує ретельне очищення язика, видаляючи бактерії та залишки їжі з усієї поверхні.
Ергономічний дизайн: Зручна форма дозволяє комфортно користуватися скребком, забезпечуючи легкість у догляді.
Гігієнічність: Виготовлений із безпечного, міцного матеріалу, що легко очищується після використання.
Запобігання неприємному запаху: Регулярне використання скребка сприяє підтриманню свіжості дихання.
Делікатність: М'яка дія забезпечує очищення без подразнення навіть для чутливих язиків.
Кому підходить:
Людям, які піклуються про комплексну гігієну ротової порожнини.
Тим, хто стикається з проблемою неприємного запаху з рота.
Для щоденного догляду, як частина повноцінної гігієни ротової порожнини.
Чому обрають Curaprox CTC 202?
Скребок Curaprox CTC 202 – це простий, але надзвичайно ефективний інструмент для підтримання свіжості дихання та здоров’я ротової порожнини. Завдяки подвійним лезам і ергономічному дизайну він забезпечує ідеальну чистоту язика з мінімальними зусиллями. Зробіть гігієну ротової порожнини максимально ефективною з Curaprox CTC 202!",
Зубна нитка Oral-B Super Floss для брекет систем і протезів,"Зубна нитка Oral-B Super Floss для брекет систем і протезів, 50 ниток
Опис
Зубна нитка Oral-B Super Floss призначена для очищення мостовидних протезів, брекет-систем, імплантатів і широких проміжків між зубами. Включає 3 унікальних ділянки: жорстку, губчасту і стандартну. Всі разом вони забезпечують максимальну ефективність.

Складається з трьох частин:
1. Обтяжена частина нитки для чищення під ортопедичною конструкцією
2. Губчаста нитка для чищення навколо ортопедичної конструкції і в широких міжзубних проміжках
3. Звичайна нитка для видалення нальоту під лінією ясен

Вощене волокно
Довжина однієї нитки - 60 см",
Gum Afta Clear (гель для полегшення болю) 10 мл,"Гель GUM AftaClear - забезпечує тривалу дію і негайне полегшення болю. Сприяє загоєнню ран. Не викликає подразнення. Легко застосовувати завдяки довгій канюлі.

Найкраще підходить при гострій терапії для місцевого застосування на окремих ураженнях. Забезпечує ефективне полегшення з першого застосування.",
"Цукерки на паличці з ксилітолом, що блокують розмноження мікробів","Рекомендується дітям і дорослим, які люблять солодке, але піклуються про здоров'я ротової порожнини. Особливо рекомендується для дітей з високим ризиком розвитку карієсу.

XyliPOP на 100% підсолоджений натуральним ксилітолом.

Запобігає розвитку карієсу.

Сприяє ремінералізації емалі.

Сприяє зменшенню зубного нальоту.

Має низьку калорійність - 32 ккал на 1 льодяник.

Підходить людям, які страждають на цукровий діабет.

Крім того, до складу льодяника XyliPOP входить лактат кальцію, який сприяє зміцненню зубної емалі.

Харчова (поживна) цінність на 100 г: 815 кДж / 195 ккал; Жири: 0 г; білки: 0 г; вуглеводи: 87 р. Детальніше: https://bellidenti.com.ua/ua/p1614218618-konfety-ksilitom-miradent.html",
Ортодонтичний віск для брекетів без запаху та смаку,"Віск на основі парафіну медичного класу для захисту від брекетів та подразнення стоматологічного приладу м’яких тканин порожнини
рота Створений стоматологами, щоб забезпечити вам безпечний, ефективний та реліаб зубний віск, наданий ортодонтами
Цей безпечний та простий у використанні зубний віск не має запаху, смаку та кольору, щоб непомітно та комфортно адаптуватися у вашому способі життя
, рекомендований стоматологом. Мами і тата схвалили. Схвалюються діти і підлітки. Дуже добре підходить для будь-якого віку.
5 смужок високоякісного зубного воску в кожному випадку. По 10 барвистих, портативних футлярів в кожній упаковці.",
Жувальна гумка з ксилітолом Miradent Xylitol chewing gum,"Жувальна гумка Miradent з ксилітом, 30 шт.
Медична жувальна гумка для догляду за зубами у зручних баночках по 30 подушечок, із шістьма різними смаками.

Очищає та запобігає нальоту. Дія жувальної гумки з ксилітом ефективно блокує утворення карієсу, особливо після їди.

Ксіліт формує сполуки з кальцієм і протеїнами, що містяться в слині, в роті, що веде до ремінералізації твердої зубної субстанції. На зубах не утворюється новий наліт, якщо ксиліт споживається адекватній кількості. Таким чином, запобігається розвитку карієсу, розчиняються і видаляються існуючі зубні відкладення. Ксіліт створює в роті прохолодне відчуття, схоже на освіжаючий смак ментолу. Бактерії в ротовій порожнині не можуть використовувати ксиліт, тому він не сприяє виникненню карієсу.

У жувальній гумці Xylitol, цукор на 100% замінюється ксилітом, внаслідок чого вона позитивно впливає на здоров'я, сприяючи: збільшення слиновиділення (при ксеростомії), скорочення відкладень нальоту, скорочення кількості бактерій, що сприяють утворенню нальоту та кислоти, ремінералізації емалі, зменшення від матері до дитини, підходить для діабетиків.

Рекомендована добова доза: дорослим: від 6 до 7 подушечок; дітям: від 3 до 4 подушечок.

Варіанти смаків:
яблуко
полуниця
зелений чай
м'ята перцева
кориця
журавлина
цитрус
м'ята

Виробник: Hager & Werken Miradent (Мірадент), Німеччина.",
Ополіскувач для виявлення зубного нальоту Miradent Plaque Agent 500 мл,"Дитячий ополіскувач для індикації нальоту Miradent Plaque Agent 500 мл

Розчин для полоскання зубів Plaque Agent дозволяє дітям швидко і легко побачити наявність зубного нальоту. Зі смаком жуйки, тому його цікаво використовувати, популярний серед дітей та допомагає їм зрозуміти необхідність ретельного щоденного догляду за зубами.

Застосування:

Потрібно прополоскати ротову порожнину 10мл Plaque Agent (одна мірка) протягом 30 секунд. Після того, сплюнути. Зубний наліт буде пофарбований у синій колір і можна визначити, які зуби вимагають ретельного чищення. Синій колір легко зчищається дитячою зубною пастою.

Діти до 12 років можуть потребувати допомоги зі полосканням ротової порожнини і батьки повинні контролювати використання Plaque Agent.

Об `єм:500мл.",
Дорожній набір Curaprox 'Be you',"Неймовірно компактна дорожня зубна щітка, освіжаюча видбілююча зубна паста (10 мл) і два міжзубних йоржика з зручним тримачем. Безкомпромісний догляд за ротовою порожниною від Curaprox.

Ніяких компромісів по стилю. Ніяких компромісів щодо здоров'я ротової порожнини. Ваші улюблені продукти Curaprox в вашому валізі, ручній поклажі або у вашій кишені. Цей яскравий, стильний дорожній комплект розміром всього 9,5 см х 6 см.

Містить:

• CS 5460 дорожня зубна щітка дорожня: безжальна до зубного нальоту. Безжально ніжна для зубів і ясен.

• Curaprox Be you Зубна паста Мрійник (Ожина + Лакрица), 10 мл: захищає зуби і ясна і піклується про них. Ніжно і ефективно відбілює зуби.

• Міжзубні йоржики CPS Prime, розмір 07 (червоний) і 09 (жовтий): ефективна чистка в проміжках між зубами

Не містить шкідливих речовин, таких як бісфенол А (BPA), фталати або азобарвники.",
"Міжзубні щітки Dentaid Interprox Plus Super Micro на ручці, 1.4 мм Interprox","Міжзубні щітки INTERPROX PLUS 2G призначені для профілактики та контролю розвитку пародонтальних захворювань та карієсу у важкодоступних міжзубних ділянках, діастемах, зонах фуркації. Рекомендовані людям із широкими інтердентальними проміжками, незнімними ортопедичними конструкціями, імплантатами, брекетами.

Властивості
 Щетинки виготовлені з високоякісного матеріалу Tynex®, що дозволяє їх максимально гладкого відполірувати — вони жодним чином не ушкоджують поверхню зубів, ясен, імплантатів
 Чорні щетинки призначені для візуалізації бактеріального нальоту, а білі — допомагають визначити слабкі кровоточиві області ясен
 Мають вигнуту ручку, що полегшує процес чищення у бічних ділянках
 Дріт міжзубних щіточок INTERPROX PLUS 2G виготовлений із нержавіючої сталі та покритий поліуретаном (не пошкоджує імплантати, зуби, ясна)
 Випускаються конічної та циліндричної форми

Рекомендації з використання
 Виберіть міжзубну щітку необхідного розміру для кожного окремого проміжку. Розмір на упаковці показує мінімальний необхідний розмір між зубами або елементами конструкції. Щітка повинна вільно проходити так, щоб щетинки торкалися зубів, а дріт об них не терся. Якщо дріт згинається або треться об ясна, використовуйте щіточку меншого розміру.

Переваги продукту
Спеціальний дизайн забезпечує доступ до міжзубних проміжків без пошкодження ясен.
Високоякісні щетинки Tynex сприяють ретельному догляду за яснами.
Дріт з нержавкої сталі покритий поліуретаном для захисту слизових, зубів та імплантатів.
Захисний ковпачок призначений для гігієнічного зберігання та можливості брати щітки із собою в дорогу.
Міжзубні щітки бренду Dentaid відповідають міжнародному стандарту ISO 16409.",
